							Integrated Y1	Integrated Y 2	Integrated Y 3
	20120613_Lumatec2_Filter0_5cm_geringe_Leitstung_0.7W.txt	20120613_Lumatec2_Filter3_5cm_geringe_Leistung_0.36W.txt	20120623_Lumatec2_Filter1_5cm_geringeLeistung_0.39W.txt		Lumatec 2 Filter 3 skaliert		20120613_Lumatec2_Filter0_5cm_geringe_Leitstung_0.7W.txt	20120613_Lumatec2_Filter3_5cm_geringe_Leistung_0.36W.txt	20120623_Lumatec2_Filter1_5cm_geringeLeistung_0.39W.txt
473,82	494,14	0,44794	490,71		0,22397		68812,800599	61664,16252505	109772,236306
474,59	490,84	0,44182	487,84		0,22091		69192,017899	61664,50508265	110148,978056
475,37	486,79	0,43707	484,06		0,218535		69573,293599	61664,84784975	110528,019056
476,15	481,71	0,43271	479,36		0,216355		69951,008599	61665,18706395	110903,752856
476,92	476,28	0,42762	474,23		0,21381		70319,834749	61665,518291	111270,885006
477,7	470,89	0,42902	468,98		0,21451		70689,231049	61665,8523806	111638,736906
478,48	465,96	0,4289	463,93		0,21445		71054,602549	61666,1869694	112002,571806
479,25	462,44	0,43718	459,74		0,21859		71412,036549	61666,5204102	112358,184756
480,03	460,91	0,44802	456,61		0,22401		71772,143049	61666,8656382	112715,561256
480,8	461,81	0,46276	454,38		0,23138		72127,390249	61667,2162885	113066,292406
481,58	465,01	0,48396	452,51		0,24198		72488,850049	61667,5855093	113419,979506
482,35	469,74	0,51264	449,62		0,25632		72848,728799	61667,9692003	113767,299556
483,13	474,7	0,53641	443,92		0,268205		73217,060399	61668,3783298	114115,780156
483,91	479,55	0,55765	434,95		0,278825		73589,217899	61668,8050132	114458,539456
484,68	483,91	0,57619	422,36		0,288095		73960,149999	61669,2415416	114788,603806
485,46	486,95	0,59987	405,68		0,299935		74338,785399	61669,700205	115111,539406
486,23	488,42	0,61553	385,2		0,307765		74714,302849	61670,168134	115416,028206
487,01	488,12	0,62885	361,33		0,314425		75095,153449	61670,6534422	115707,174906
487,78	485,36	0,63285	334,37		0,316425		75469,943249	61671,1391967	115975,019406
